a_type,day_of_week,time_of_day,a_parameter,fps,bitrate,total_frame_number,name,time_consumption,target
people_counting,0,4,1,24,500,33281,./storage_server_volume/converted_videos/24-500/2020-11-09_00-00-00/Pole1_2020-11-09_04-00-00.mp4,1950.1399624347687,636
illegal_parking0,0,17,1,6,100,19502,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_17-00-01.mp4,1034.7449748516083,334
illegal_parking0,0,18,1,6,100,17809,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_18-00-00.mp4,924.3992784023285,140
people_counting,0,5,1,24,500,37690,./storage_server_volume/converted_videos/24-500/2020-11-09_00-00-00/Pole1_2020-11-09_05-00-01.mp4,2169.5725178718567,1215
illegal_parking0,0,19,1,6,100,16648,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_19-00-00.mp4,858.4702899456024,336
illegal_parking0,0,20,1,6,100,15504,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_20-00-01.mp4,778.8280372619629,425
people_counting,0,6,1,24,500,30405,./storage_server_volume/converted_videos/24-500/2020-11-09_00-00-00/Pole1_2020-11-09_06-00-00.mp4,1779.8875164985657,5151
illegal_parking0,0,21,1,6,100,11188,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_21-00-00.mp4,544.6665868759155,200
illegal_parking0,0,22,1,6,100,7884,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_22-00-00.mp4,420.4094874858856,144
illegal_parking0,0,23,1,6,100,6555,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_23-00-00.mp4,373.366370677948,197
illegal_parking0,0,0,1,6,10,2208,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_00-00-00.mp4,154.17183303833008,1
illegal_parking0,0,1,1,6,10,5849,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_01-00-00.mp4,322.36405324935913,7
illegal_parking0,0,2,1,6,10,5157,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_02-00-00.mp4,204.24665927886963,0
illegal_parking0,0,3,1,6,10,10326,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_03-00-00.mp4,373.19274258613586,0
illegal_parking0,0,4,1,6,10,8322,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_04-00-00.mp4,310.80718755722046,11
illegal_parking0,0,5,1,6,10,9420,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_05-00-01.mp4,345.7015104293823,0
illegal_parking0,0,6,1,6,10,7601,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_06-00-00.mp4,288.3343300819397,13
illegal_parking0,0,7,1,6,10,20040,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_07-00-00.mp4,692.596745967865,53
illegal_parking0,0,8,1,6,10,21599,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_08-00-00.mp4,759.1724579334259,44
people_counting,0,7,1,24,500,80178,./storage_server_volume/converted_videos/24-500/2020-11-09_00-00-00/Pole1_2020-11-09_07-00-00.mp4,4338.5872168540955,10967
illegal_parking0,0,9,1,6,10,21602,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_09-00-00.mp4,765.1117417812347,134
illegal_parking0,0,10,1,6,10,21476,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_10-00-00.mp4,734.8987727165222,120
illegal_parking0,0,11,1,6,10,15014,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_11-00-00.mp4,524.5832204818726,295
illegal_parking0,0,12,1,6,10,14598,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_12-00-00.mp4,503.20902037620544,232
illegal_parking0,0,13,1,6,10,19130,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_13-00-00.mp4,653.7751367092133,205
illegal_parking0,0,14,1,6,10,21109,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_14-00-01.mp4,729.3437173366547,1492
people_counting,0,8,1,24,500,86391,./storage_server_volume/converted_videos/24-500/2020-11-09_00-00-00/Pole1_2020-11-09_08-00-00.mp4,4520.4858202934265,16725
illegal_parking0,0,15,1,6,10,20913,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_15-00-00.mp4,716.0353553295135,957
illegal_parking0,0,16,1,6,10,20716,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_16-00-01.mp4,708.6452970504761,199
